更新时间: 2026-04-22 20:54:10（北京时间）

更新时间,#genre#
2026-04-22 20:54:10,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV1,http://27.11.252.52:8002/rtp/225.0.4.74:7980$重庆市联通
CCTV1,http://121.230.144.64:8000/rtp/239.49.8.19:9614$江苏电信
CCTV1,http://223.10.214.111:6000/rtp/239.1.1.7:8007$山西电信
CCTV1,http://183.151.27.188:4022/rtp/233.50.201.118:5140$浙江电信
CCTV1,http://220.192.130.71:8002/rtp/225.0.4.74:7980$重庆市联通
CCTV1,http://121.238.250.95:8800/rtp/239.49.8.19:9614$江苏电信
CCTV2,http://27.11.252.52:8002/rtp/225.0.4.132:7980$重庆市联通
CCTV2,http://121.230.144.64:8000/rtp/239.49.8.50:9802$江苏电信
CCTV2,http://223.10.214.111:6000/rtp/239.1.1.8:8008$山西电信
CCTV2,http://183.151.27.188:4022/rtp/233.50.201.119:5140$浙江电信
CCTV2,http://220.192.130.71:8002/rtp/225.0.4.132:7980$重庆市联通
CCTV2,http://121.238.250.95:8800/rtp/239.49.8.50:9802$江苏电信
CCTV3,http://27.11.252.52:8002/rtp/225.0.4.142:7980$重庆市联通
CCTV3,http://121.230.144.64:8000/rtp/239.49.8.74:8000$江苏电信
CCTV3,http://223.10.214.111:6000/rtp/239.1.1.9:8009$山西电信
CCTV3,http://183.151.27.188:4022/rtp/233.50.201.196:5140$浙江电信
CCTV3,http://220.192.130.71:8002/rtp/225.0.4.142:7980$重庆市联通
CCTV3,http://121.238.250.95:8800/rtp/239.49.8.74:8000$江苏电信
CCTV4,http://27.11.252.52:8002/rtp/225.0.4.176:7980$重庆市联通
CCTV4,http://121.230.144.64:8000/rtp/239.49.8.51:9806$江苏电信
CCTV4,http://223.10.214.111:6000/rtp/239.1.1.10:8010$山西电信
CCTV4,http://183.151.27.188:4022/rtp/233.50.200.101:5140$浙江电信
CCTV4,http://220.192.130.71:8002/rtp/225.0.4.176:7980$重庆市联通
CCTV4,http://121.238.250.95:8800/rtp/239.49.8.51:9806$江苏电信
CCTV5,http://27.11.252.52:8002/rtp/225.0.4.143:7980$重庆市联通
CCTV5,http://121.230.144.64:8000/rtp/239.49.8.75:8000$江苏电信
CCTV5,http://223.10.214.111:6000/rtp/239.1.1.11:8011$山西电信
CCTV5,http://183.151.27.188:4022/rtp/233.50.200.108:5140$浙江电信
CCTV5,http://183.151.27.188:4022/rtp/233.50.201.194:5140$浙江电信
CCTV5,http://220.192.130.71:8002/rtp/225.0.4.143:7980$重庆市联通
